Anos,Total
2007,3686150.0
2008,7118100.0
2009,8940988.0
2010,2595303.0
2011,3615120.0
2012,5521293.0
2013,22744845.0
2014,7472795.0
2015,2769160.0
2016,4434704.0
2017,7135607.0
2018,7486063.0
2019,5934826.0
2020,6078288.0
2021,9851896.0
