Anos,Total
2007,3281752.0
2008,10346323.0
2009,25514198.0
2010,1280574.0
2011,1214834.0
2012,5775376.0
2013,9149059.0
2014,2324029.0
2015,1198479.0
2016,1786549.0
2017,2889572.0
2018,3856162.0
2019,3152873.0
2020,4409717.0
2021,8058673.0
